id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
52,XRP,XRP,xrp,1242,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-07T12:23:00.000Z,0.6246389921120651,2691726303.8031626,-38.376,0.65439815,2.49306537,4.4945905,24.90990059,10.29207895,-4.31245529,34145285404.146236,1.3538,62463899211.21,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:52.010383
3408,USDC,USDC,usd-coin,17072,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,29136804958.577496,29136804958.577496,False,,7,,,,2024-03-07T12:23:00.000Z,1.0000051448910692,10846544470.288313,-41.5061,0.00413171,-0.00174232,0.01080455,0.00259831,0.00338499,-0.00503369,29136954864.26511,1.1548,29136954864.27,,2024-03-07T12:23:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-07 09:24:52.010383
2010,Cardano,ADA,cardano,1089,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35489235521.943,36685854736.851,False,,8,,,,2024-03-07T12:22:00.000Z,0.73865431031495,1013326578.8590999,-52.4099,0.74693137,1.63889242,6.90283736,50.27268381,41.89388757,43.52567772,26214276788.06563,1.0393,33239443964.17,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:52.010383
74,Dogecoin,DOGE,dogecoin,913,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143368196383.70526,143368196383.70526,True,,9,,,,2024-03-07T12:23:00.000Z,0.15327522540710944,3138152884.2191696,-60.9371,-0.20473657,-7.18913644,17.35992158,96.6841622,91.48352526,56.66024465,21974792616.923157,0.871,21974792616.92,,2024-03-07T12:23:00.000Z,,,,,,2024-03-07 09:24:52.010383
5994,Shiba Inu,SHIB,shiba-inu,756,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,10,,,,2024-03-07T12:22:00.000Z,3.1742741518043876e-05,4585729448.326346,-63.4958,0.71887339,-11.51285259,132.08923839,258.74512787,235.10443508,216.00005784,18705661446.74762,0.7416,18713428123.57,,2024-03-07T12:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-07 09:24:52.010383
5805,Avalanche,AVAX,avalanche,677,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377288160.27803296,435977800.27803296,False,,11,,,,2024-03-07T12:22:00.000Z,43.00791207238038,814665669.5276574,-46.8184,0.57408534,5.88630937,0.32038416,26.98143973,23.52182128,56.42547841,16226376023.187798,0.6433,30965696692.11,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:52.010383
6636,Polkadot,DOT,polkadot-new,699,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1286781385.6456025,1419041887.353954,True,,12,,,,2024-03-07T12:22:00.000Z,10.488570056259993,720999590.670406,-38.8451,0.78006872,5.00841162,20.15209801,56.74888454,46.07816741,61.72270501,13496496710.43521,0.5351,14883720248.28,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:52.010383
1958,TRON,TRX,tron,940,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87920012838.66838,87920128801.18509,True,,13,71659659264.0,9820360827.968647,,2024-03-07T12:22:00.000Z,0.13704169024568819,410006294.1776271,-46.6027,-0.03374875,-0.59516424,-3.83906768,13.43002607,32.17762579,29.48704205,12048707165.833721,0.4777,12048723057.53,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:52.010383
1975,Chainlink,LINK,chainlink,1671,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-07T12:22:00.000Z,19.977390463599356,614310413.8962034,-48.624,0.49822374,2.13906998,-0.41929814,6.78373489,47.879198,21.46250908,11728725350.902964,0.465,19977390463.6,,2024-03-07T12:22:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-07 09:24:52.010383
3890,Polygon,MATIC,polygon,1299,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9899144950.950434,10000000000.0,False,,15,,,,2024-03-07T12:22:00.000Z,1.1374606519262582,795580095.8381904,-43.4658,0.42780815,6.18685825,8.56665768,44.79979654,36.89042499,29.04513758,11259887869.420609,0.4464,11374606519.26,,2024-03-07T12:22:00.000Z,,,,,,2024-03-07 09:24:52.010383
